测试套/软件包名,测试用例名,状态,与2303对比,日志文件,原因
FS_File,oe_test_FSIO_check_alias,fail,09fail,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_check_alias/2023-08-09-02:17:51.log,grep: /root/.bashrc: No such file or directory，测试镜像中bash环境配置文件缺失
,oe_test_FSIO_act_file_lack_inode,fail,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_act_file_lack_inode/2023-08-09-02:14:17.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_chmod,fail,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_chmod/2023-08-09-02:18:47.log,mugen脚本问题，检测的字符多了个点
,oe_test_FSIO_filefrag,fail,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_filefrag/2023-08-09-02:33:23.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_create_hardlink_fail,success,03fail,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_create_hardlink_fail/2023-08-09-02:30:53.log,None
,oe_test_FSIO_modify_file,success,03fail,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_modify_file/2023-08-09-02:34:38.log,None
,oe_test_FSIO_sys_fs_check,success,03fail,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_sys_fs_check/2023-08-09-02:38:10.log,None
,oe_test_FSIO_act_alias,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_act_alias/2023-08-09-02:13:49.log,None
,oe_test_FSIO_act_hardlink,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_act_hardlink/2023-08-09-02:16:34.log,None
,oe_test_FSIO_bzip2,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_bzip2/2023-08-09-02:16:52.log,None
,oe_test_FSIO_change_proc,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_change_proc/2023-08-09-02:17:17.log,None
,oe_test_FSIO_chattr,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_chattr/2023-08-09-02:17:35.log,None
,oe_test_FSIO_check_block,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_check_block/2023-08-09-02:18:07.log,None
,oe_test_FSIO_check_file_info,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_check_file_info/2023-08-09-02:18:22.log,None
,oe_test_FSIO_chown,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_chown/2023-08-09-02:19:09.log,None
,oe_test_FSIO_concurrency_read_file,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_concurrency_read_file/2023-08-09-02:19:29.log,None
,oe_test_FSIO_concurrency_write_file,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_concurrency_write_file/2023-08-09-02:21:43.log,None
,oe_test_FSIO_cp_file,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_cp_file/2023-08-09-02:29:36.log,None
,oe_test_FSIO_create_block,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_create_block/2023-08-09-02:30:03.log,None
,oe_test_FSIO_create_character,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_create_character/2023-08-09-02:30:28.log,None
,oe_test_FSIO_create_mv_hardlink,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_create_mv_hardlink/2023-08-09-02:31:18.log,None
,oe_test_FSIO_create_softlink,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_create_softlink/2023-08-09-02:31:43.log,None
,oe_test_FSIO_create_softlink_diff_fs,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_create_softlink_diff_fs/2023-08-09-02:32:01.log,None
,oe_test_FSIO_create_softlink_dir,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_create_softlink_dir/2023-08-09-02:32:25.log,None
,oe_test_FSIO_create_softlink_file,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_create_softlink_file/2023-08-09-02:32:40.log,None
,oe_test_FSIO_dd_file,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_dd_file/2023-08-09-02:32:58.log,None
,oe_test_FSIO_gzip,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_gzip/2023-08-09-02:33:49.log,None
,oe_test_FSIO_gzip_overfs,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_gzip_overfs/2023-08-09-02:34:13.log,None
,oe_test_FSIO_modify_magicfile,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_modify_magicfile/2023-08-09-02:35:13.log,None
,oe_test_FSIO_mv_file_1,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_mv_file_1/2023-08-09-02:35:29.log,None
,oe_test_FSIO_mv_file_2,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_mv_file_2/2023-08-09-02:35:54.log,None
,oe_test_FSIO_rename_file,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_rename_file/2023-08-09-02:36:19.log,None
,oe_test_FSIO_rename_file_fail,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_rename_file_fail/2023-08-09-02:36:47.log,None
,oe_test_FSIO_rm_file,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_rm_file/2023-08-09-02:37:22.log,None
,oe_test_FSIO_rm_hardlink,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_rm_hardlink/2023-08-09-02:37:38.log,None
,oe_test_FSIO_rm_softlink,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_rm_softlink/2023-08-09-02:37:54.log,None
,oe_test_FSIO_tar,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_tar/2023-08-09-02:38:29.log,None
,oe_test_FSIO_touch_file,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_touch_file/2023-08-09-02:39:08.log,None
,oe_test_FSIO_zip_unzip,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_zip_unzip/2023-08-09-02:39:25.log,None
,oe_test_FSIO_zip_unzip_overfs,success,same,./oe-rv2309/mugen-riscv/logs/FS_File/oe_test_FSIO_zip_unzip_overfs/2023-08-09-02:39:52.log,None
FS_FileSystem,oe_test_FSIO_change_fs,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_change_fs/2023-08-09-02:13:49.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_create_ext3,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_create_ext3/2023-08-09-02:14:46.log,preinstall absent，软件xfsprogs未安装
,oe_test_FSIO_create_ext4,fail,diff,./oe-rv2309/mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_create_ext4/2023-08-09-02:15:08.log,preinstall absent，软件xfsprogs未安装
